Promotion,Nom,Prenom,Groupe,uid,Serveur,Nom-serveur
2025-2026,Dupont,Jean,,jdupont,18,pm-serv18.usmb-tri.fr
2025-2026,Durand,Marie,,mdurand,21,pm-serv21.usmb-tri.fr
2025-2026,Martin,Lucas,,lmartin,20,pm-serv20.usmb-tri.fr
2025-2026,Bernard,Chloe,,cbernard,16,pm-serv16.usmb-tri.fr
2025-2026,Petit,Thomas,,tpetit,22,pm-serv22.usmb-tri.fr
2025-2026,Robert,Alice,,arobert,19,pm-serv19.usmb-tri.fr
2025-2026,Richard,Benoit,,brichard,22,pm-serv22.usmb-tri.fr
2025-2026,Moreau,Sophie,,smoreau,21,pm-serv21.usmb-tri.fr
2025-2026,Lefebvre,Hugo,,hlefebvre,20,pm-serv20.usmb-tri.fr
2025-2026,Garcia,Manon,,mgarcia,16,pm-serv16.usmb-tri.fr
2025-2026,Roux,Nicolas,,nroux,21,pm-serv21.usmb-tri.fr
2025-2026,Fournier,Emma,,efournier,18,pm-serv18.usmb-tri.fr
2025-2026,Morel,Julien,,jmorel,19,pm-serv19.usmb-tri.fr
2025-2026,Girard,Lea,,lgirard,16,pm-serv16.usmb-tri.fr
2025-2026,Andre,Maxime,,mandre,22,pm-serv22.usmb-tri.fr
2025-2026,Mercier,Lucas,,lmercier,18,pm-serv18.usmb-tri.fr
2025-2026,Blanc,Zoe,,zblanc,20,pm-serv20.usmb-tri.fr
2025-2026,Guerin,Paul,,pguerin,21,pm-serv21.usmb-tri.fr
2025-2026,Boyer,Clara,,cboyer,19,pm-serv19.usmb-tri.fr
2025-2026,Garnier,Leo,,lgarnier,22,pm-serv22.usmb-tri.fr
2025-2026,Chevalier,Jade,,jchevalier,16,pm-serv16.usmb-tri.fr
2025-2026,Francois,Louis,,lfrancois,20,pm-serv20.usmb-tri.fr
2025-2026,Rousseau,Ines,,irousseau,18,pm-serv18.usmb-tri.fr
2025-2026,Masson,Enzo,,emasson,21,pm-serv21.usmb-tri.fr
2025-2026,Mathieu,Mila,,mmathieu,19,pm-serv19.usmb-tri.fr
